"","Q1...Answer....hs.al.sk....Ukrainaa.on.tuettava.sodassa.ja.jälleenrakennuksessa.kustannuksista.huolimatta.","Q2...Answer....hs....Suomen.on.käytettävä.puolustukseen.rahaa.vähintään.Naton.tavoitteen.verran.","Q3...Answer....hs....Peruskoulussa.pitää.rajoittaa.lailla.oppilaiden.määrää.yhtä.opettajaa.kohden..vaikka.se.tarkoittaisi.säästöjä.muualta..veronkorotuksia.tai.lisää.velkaa.","Q4...Answer....hs.al.sk....Suomeen.on.perustettava.huumeiden.käyttöhuoneita.","Q5...Answer....hs....Valtion.on.annettava.suunniteltua.enemmän.rahaa.sosiaali..ja.terveydenhuoltoon..vaikka.se.tarkoittaisi.säästöjä.muualta..veronkorotuksia.tai.lisää.velkaa.","Q6...Answer....hs.al.sk....Nuorisorikollisuutta.on.pyrittävä.kitkemään.ensisijaisesti.muilla.keinoilla.kuin.rangaistuksia.koventamalla.","Q7...Answer....hs.al.sk....Työttömiä.pitää.saada.nykyistä.enemmän.töihin.heikentämällä.ansiosidonnaista.työttömyysturvaa.","Q8...Answer....hs.al.sk....Suomeen.on.houkuteltava.aktiivisemmin.ulkomaisia.työntekijöitä.","Q9...Answer....hs.al.sk....Valtion.velkaantumista.tulee.hillitä..vaikka.se.merkitsisi.leikkauksia.etuuksiin.tai.palveluihin.","Q10...Answer....hs....Palkkojen.verotusta.pitää.alentaa..vaikka.se.johtaisi.palveluiden.leikkauksiin..muun.verotuksen.kiristämiseen.tai.velan.kasvuun.","Q11...Answer....hs....Valtion.pitää.tukea.enemmän.kansalaisia..jotka.kärsivät.energian.hinnan.noususta..vaikka.se.kiihdyttäisi.inflaatiota.tai.heikentäisi.valtion.taloutta.","Q12...Answer....hs.al.sk....Hakkuita.pitää.vähentää.valtion.metsissä.luontokadon.ja.ilmastonmuutoksen.torjumiseksi.","Q13...Answer....hs.al.sk....Suomen.on.lykättävä.hiilineutraaliustavoitettaan.kauemmaksi.vuodesta.2035.","Q14...Answer....hs....Helsingissä.ja.muissa.suurissa.kaupungeissa.on.otettava.käyttöön.ruuhkamaksu.","Q15...Answer....hs.al.sk....Turkistarhaus.on.kiellettävä.Suomessa.","Q16...Answer....hs.al.sk....Jos.on.pakko.valita..on.parempi.korottaa.veroja.kuin.leikata.julkisia.palveluita.ja.sosiaalietuuksia","Q17...Answer....hs.al.sk....Suuret.tuloerot.ovat.hyväksyttäviä..jotta.erot.ihmisten.lahjakkuudessa.ja.ahkeruudessa.voidaan.palkita.","Q18...Answer....hs....Valtion.pitäisi.puuttua.nykyistä.voimakkaammin.markkinoiden.toimintaan..jotta.talous.olisi.kaikille.reilu..","Q19...Answer....hs.al.sk....Suomessa.on.liian.helppo.elää.sosiaaliturvan.varassa.","Q20...Answer....hs.al.sk....Valtion.ja.kuntien.omistusta.yritystoiminnassa.tulisi.vähentää.","Q21...Answer....hs.al.sk....Suomen.muuttuminen.aiempaa.monikulttuurisemmaksi.ja.monimuotoisemmaksi.on.hyvä.asia.","Q22...Answer....hs.al.sk....Kristilliset.arvot.ovat.hyvä.pohja.poliittiselle.päätöksenteolle.","Q23...Answer....hs....Sukupuolen.moninaisuus.pitäisi.ottaa.huomioon.Suomessa.nykyistä.paremmin.","Q24...Answer....hs.al.sk....Selkeitä.rajoja.ja.kuria.tarvitaan.nykyistä.enemmän.lasten.kasvattamisessa.","Q25...Answer....hs.al.sk....Suomen.pitäisi.vähentää.omia.päästöjään.riippumatta.siitä..mitä.muut.maat.tekevät.","Q26...Answer....hs.al.sk....Poliitikkojen.on.asetettava.Suomen.ja.suomalaisten.etu.kaiken.muun.edelle.","Q27...Answer....hs.al.sk....Ympäristön.etu.tulisi.asettaa.talouskasvun.ja.työpaikkojen.luomisen.edelle..jos.ne.ovat.keskenään.ristiriidassa.","Q28...Answer....hs....Maamme.kaipaa.vahvoja.johtajia..jotka.pystyvät.tekemään.vaikeitakin.päätöksiä.välittämättä.liikaa.muiden.mielipiteistä.","Q29...Answer....hs....Koko.Suomi.tulee.pitää.asutettuna..vaikka.siitä.koituisi.kustannuksia.","Q30...Answer....hs.al.sk....Suomen.kaupungistuminen.on.hyvä.asia."
"156",4,4,4,4,4,2,1,4,2,2,4,4,1,2,5,4,2,2,2,2,4,1,5,2,4,4,4,2,2,4
"157",4,4,5,4,4,4,2,5,2,2,2,4,2,4,5,4,2,2,2,2,4,2,4,3,4,3,5,4,4,3
"158",4,4,4,2,5,2,1,2,2,4,4,4,2,1,5,2,2,4,2,1,4,2,4,4,2,5,2,2,4,2
"159",4,4,4,4,4,4,1,4,2,2,4,4,2,2,4,4,2,2,2,2,4,2,4,4,2,4,2,2,4,4
"160",5,5,4,4,2,4,5,4,4,4,2,2,2,2,3,1,4,2,5,4,3,2,4,4,4,4,3,4,2,4
"161",4,5,4,1,5,2,2,2,4,5,4,2,5,3,3,1,4,2,5,5,1,5,1,5,2,5,2,5,5,4
"162",4,3,5,5,5,5,1,5,1,1,5,5,1,5,5,5,1,5,1,1,5,1,5,1,5,1,5,1,5,2
"163",1,1,4,4,4,4,1,2,4,4,1,1,3,3,2,3,4,2,3,4,2,4,1,4,1,5,4,5,4,3
"164",5,4,5,4,5,5,1,4,1,2,5,5,1,2,5,5,1,5,1,1,4,2,5,4,5,2,4,2,4,4
"165",5,4,5,5,5,5,1,4,1,2,5,5,1,4,5,5,1,4,1,1,4,1,5,2,5,2,5,2,4,4
"166",5,5,2,2,4,2,2,4,5,5,4,4,5,2,2,1,4,2,4,4,2,4,2,5,1,5,2,1,4,2
"167",3,5,2,2,2,4,5,5,5,4,2,2,4,2,4,1,5,1,4,3,3,5,2,5,3,4,2,5,4,3
"168",4,5,5,5,5,5,3,4,2,2,4,5,1,3,5,4,2,3,2,2,5,1,5,3,5,3,5,2,2,3
"169",4,4,4,1,5,4,4,1,5,5,2,1,5,1,3,2,4,2,2,2,2,5,1,5,1,5,4,2,5,1
"170",4,5,4,1,4,2,4,4,5,5,2,1,4,1,1,1,3,2,4,5,2,5,1,4,2,5,2,4,5,2
"171",4,4,4,3,4,4,1,4,4,1,4,3,4,2,NA,4,1,4,4,2,3,1,3,4,4,2,2,5,5,2
"172",5,5,5,2,5,4,1,4,4,2,4,4,4,4,5,4,4,5,2,1,4,2,4,4,4,2,2,2,5,2
"173",4,5,4,4,2,4,4,5,5,4,2,5,1,3,5,2,4,1,4,4,4,3,4,4,5,3,4,4,3,4
"174",5,5,2,1,4,2,4,5,5,4,4,4,3,2,2,1,4,2,4,4,4,4,2,5,4,5,3,5,4,4
"175",2,5,2,2,4,2,4,1,4,4,4,2,5,2,1,2,4,5,1,1,1,4,1,3,1,5,1,5,3,2
"176",5,4,5,5,5,4,1,4,1,1,5,4,1,3,5,4,1,4,2,1,4,3,5,1,5,4,3,3,4,4
"177",4,5,2,1,2,3,4,5,5,4,1,2,2,5,4,4,3,4,4,1,4,4,3,2,4,1,2,4,5,2
"178",1,1,1,1,1,4,1,1,1,4,4,2,5,3,5,3,4,1,2,4,1,3,1,4,2,5,5,5,4,1
"179",4,5,4,1,4,4,1,2,4,4,4,2,4,2,2,2,2,4,4,4,2,5,2,4,4,4,2,2,4,4
"180",5,5,4,4,5,5,1,4,5,4,2,1,4,1,4,2,1,4,4,2,5,5,5,5,2,4,2,2,4,2
"181",1,5,1,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,1
"182",4,4,5,1,4,2,4,1,4,4,4,2,5,2,4,4,4,3,4,1,1,4,1,4,1,5,2,5,4,2
"183",2,1,4,5,5,5,1,4,1,2,5,4,1,4,5,5,1,5,1,1,5,2,5,3,5,3,3,3,4,4
"184",2,4,3,4,2,4,4,4,4,3,2,2,4,2,4,1,4,3,4,4,2,2,3,4,3,4,2,3,3,4
"185",5,5,5,4,2,1,2,2,5,1,2,4,2,1,5,2,4,1,2,2,1,3,2,2,5,1,5,2,4,4
"186",5,4,2,3,4,4,3,5,5,2,4,1,2,2,3,2,2,2,4,3,4,4,4,4,4,2,3,2,5,2
"187",4,5,4,1,4,2,3,1,5,5,5,2,5,1,1,2,4,1,4,2,1,5,1,4,2,5,2,4,5,3
"188",5,5,4,4,4,5,2,2,4,2,4,2,2,2,4,4,1,5,2,2,4,4,4,4,4,4,4,2,4,2
"189",4,5,4,4,4,4,2,4,3,2,4,3,2,3,4,4,2,4,2,3,4,3,4,2,4,4,3,2,4,3
"190",5,5,1,2,2,2,5,5,5,4,1,2,1,1,2,2,4,1,4,4,4,5,5,5,5,5,4,5,4,3
"191",4,5,4,4,5,2,5,4,5,5,5,2,5,1,4,1,5,3,5,1,4,3,5,4,2,5,1,5,5,2
"192",5,5,4,5,2,5,5,5,4,4,4,5,4,2,3,1,4,1,5,5,2,4,3,5,4,5,4,5,5,2
"193",1,5,1,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,1,1,3,1,5,5,5,5,5,5,1
"194",4,1,4,1,4,5,5,1,5,4,1,4,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,1,5,4
"195",5,5,4,1,4,2,5,4,4,4,3,3,4,2,3,2,4,1,4,4,4,4,3,4,4,5,3,4,4,3
"196",4,3,5,5,5,5,1,5,2,2,4,5,1,4,5,5,1,5,1,1,5,1,5,2,5,2,4,2,2,4
"197",4,5,5,3,4,2,2,5,5,4,2,1,2,4,3,2,4,2,4,4,5,5,3,4,4,3,2,2,4,4
"198",4,4,2,2,4,2,4,4,4,3,2,2,3,1,2,3,3,1,4,4,3,5,1,3,2,4,3,4,4,3
"199",5,5,4,5,4,5,4,5,4,4,4,5,1,2,5,4,3,4,2,4,4,1,5,2,5,2,5,2,2,4
"200",4,5,2,1,2,1,5,2,5,2,4,2,5,1,1,1,4,1,5,5,1,5,1,5,1,5,2,5,4,2
"201",5,5,4,2,2,2,2,4,5,4,2,2,4,1,4,1,4,2,4,2,4,4,3,4,4,4,4,4,4,4
"202",5,4,5,5,5,5,2,5,2,4,2,5,1,5,5,5,1,5,1,2,5,2,5,1,5,1,5,1,4,4
"203",5,5,5,5,4,4,5,5,5,5,1,5,3,1,4,1,5,1,3,5,5,1,5,4,4,4,4,4,2,4
"204",4,5,5,3,4,5,2,5,3,4,3,2,3,2,4,2,2,3,2,3,4,2,3,3,2,4,2,2,4,2
"205",4,4,4,4,4,5,1,5,4,4,2,2,4,3,2,2,4,4,3,2,3,4,4,4,4,4,4,4,3,4
"206",4,5,5,1,4,5,2,4,4,1,4,1,5,1,2,5,1,1,2,2,2,5,1,4,5,4,2,4,5,2
"207",4,4,5,5,5,5,1,4,2,2,3,5,1,4,5,5,2,4,2,1,5,2,5,2,5,2,5,2,3,4
"208",3,5,5,4,4,5,2,4,1,1,2,5,1,4,5,5,2,5,1,2,4,1,5,2,5,1,5,4,2,3
"209",1,1,4,2,2,4,2,2,2,4,5,3,5,1,4,1,5,1,2,2,2,5,1,2,1,5,5,2,4,4
"210",4,4,4,1,4,1,4,1,5,5,5,1,4,1,2,4,5,2,5,2,1,2,1,5,2,5,2,5,5,2
"211",2,5,5,2,4,2,2,2,5,5,2,1,5,1,1,3,4,3,4,1,1,4,1,5,1,5,4,4,4,1
"212",5,5,5,4,5,5,4,3,4,4,4,4,3,2,2,4,5,4,4,3,4,5,3,5,5,5,5,4,4,3
"213",4,4,2,3,2,4,4,4,4,4,2,4,1,2,2,2,4,2,4,4,4,3,4,4,4,4,4,4,2,4
"214",4,4,4,1,4,2,3,4,5,3,4,2,3,2,4,3,3,4,2,2,3,5,1,4,3,3,3,4,4,2
"215",1,1,4,1,1,5,3,1,5,5,5,1,5,1,3,1,4,3,1,1,2,5,1,1,1,5,3,2,5,1
"216",1,1,3,1,3,5,3,4,3,4,5,2,5,2,1,2,2,2,3,1,1,2,1,2,1,5,3,2,2,2
"217",4,2,4,5,5,5,1,5,2,2,4,5,1,2,5,5,1,4,1,4,5,1,5,1,5,2,5,2,4,2
"218",4,4,4,5,4,4,1,4,2,2,2,4,1,2,5,4,2,4,2,2,5,2,5,2,4,2,4,2,5,2
"219",4,5,5,1,4,2,4,1,5,5,2,1,5,1,1,1,5,2,5,4,1,4,1,5,2,5,3,5,4,1
"220",2,4,4,1,4,2,2,2,2,2,3,2,5,1,1,3,2,3,3,2,1,5,1,5,2,5,2,5,4,2
"221",1,1,1,4,5,1,1,2,5,1,5,2,5,1,2,1,1,5,1,5,1,5,1,5,2,5,4,1,5,2
"222",5,5,2,3,4,2,4,4,4,2,2,2,1,1,4,2,4,2,4,4,4,4,4,4,4,5,3,4,5,1
"223",4,4,4,3,4,3,4,3,5,4,4,2,5,3,2,2,4,2,4,2,1,4,3,4,2,5,4,3,4,2
"224",4,4,3,2,3,2,3,3,4,3,3,2,5,3,1,3,3,4,4,3,3,4,2,4,2,5,2,4,5,2
"225",5,4,NA,5,4,4,3,4,2,2,1,3,2,4,3,4,3,4,4,4,3,2,NA,4,4,1,4,1,2,4
"226",4,4,2,2,4,5,4,4,4,2,3,1,2,1,1,2,4,4,4,2,3,5,3,4,4,4,4,2,4,2
"227",2,2,4,5,4,5,3,1,4,3,1,1,4,1,4,3,3,4,1,4,1,1,1,5,4,5,4,5,5,1
"228",4,5,3,3,2,2,2,4,4,4,2,4,5,1,2,1,5,1,4,4,3,2,2,4,2,4,3,5,2,5
"229",5,4,4,5,4,4,1,4,2,3,4,3,1,2,5,3,1,4,2,2,4,2,5,2,5,3,4,4,4,4
"230",2,4,2,3,4,4,2,4,5,2,4,1,4,4,3,5,4,4,2,2,3,5,3,2,4,4,4,4,5,2
"231",2,2,4,1,3,3,2,4,4,2,4,2,4,1,5,2,4,2,4,4,2,5,1,3,3,4,4,4,4,3
"232",5,4,5,5,5,5,1,4,2,1,4,5,1,5,5,5,1,5,1,1,5,2,5,2,5,1,5,1,4,4
"233",5,5,5,5,5,5,2,5,2,1,2,5,1,4,5,5,1,4,1,1,5,1,5,4,5,2,5,2,4,4
"234",3,1,4,1,1,4,5,3,5,2,4,5,1,1,5,3,1,3,3,5,3,3,3,5,5,3,5,5,5,1
"235",2,1,5,4,5,4,1,5,2,2,5,2,4,5,4,4,1,5,1,1,4,1,4,4,2,5,4,4,5,2
"236",4,4,1,5,2,4,4,5,5,4,1,2,1,2,1,1,5,1,4,4,4,3,4,4,5,2,4,2,4,3
"237",4,5,4,2,4,1,4,4,5,2,2,4,3,5,5,5,3,2,5,4,2,2,NA,5,4,5,2,5,5,2
"238",5,5,2,5,2,1,2,5,5,4,2,2,1,1,2,2,5,1,4,4,5,5,4,4,5,5,5,5,4,4
"239",4,5,4,2,4,2,2,2,4,4,4,2,5,2,2,2,4,4,5,4,2,4,2,5,1,5,2,5,5,2
"240",4,5,5,4,5,5,1,5,4,2,4,5,1,5,NA,4,1,2,1,1,5,2,5,4,5,2,1,1,2,3
"241",5,4,5,5,5,5,1,5,1,1,5,5,1,5,5,5,1,4,1,1,5,1,5,2,5,1,5,1,4,4
"242",4,5,4,5,3,5,4,5,5,4,4,2,1,2,5,2,3,1,4,5,5,4,5,4,5,4,4,3,2,4
"243",4,2,5,5,5,2,4,3,5,4,2,4,2,3,5,2,4,3,4,5,4,1,3,4,5,4,4,2,3,3
"244",5,5,4,2,4,3,3,4,3,5,5,3,5,2,3,3,4,4,4,3,3,4,2,4,3,5,3,4,3,3
"245",5,5,5,4,4,5,3,5,4,2,3,5,1,4,5,4,3,4,2,2,4,3,4,3,5,4,5,3,5,2
"246",4,5,4,1,5,4,5,4,5,4,1,1,5,1,1,1,4,4,4,2,1,5,1,5,2,5,2,5,5,2
"247",5,5,5,5,4,4,2,5,5,4,4,5,2,2,5,1,5,2,4,5,4,4,2,4,4,4,3,5,4,2
"248",2,1,2,3,2,4,5,3,4,4,3,3,5,3,4,1,2,1,4,5,2,2,3,4,4,4,3,1,5,1
"249",3,3,2,1,2,2,5,2,5,5,2,3,4,4,1,4,4,2,4,4,2,5,3,5,2,5,3,3,5,1
"250",5,4,5,5,4,5,1,5,2,1,4,5,1,5,5,5,1,4,1,1,5,1,5,3,5,3,5,1,1,5
"251",2,4,4,3,4,4,5,4,5,4,3,1,5,3,3,1,5,4,5,3,2,4,1,5,1,5,1,5,5,2
"252",5,5,3,2,2,4,3,5,4,3,3,3,2,2,3,3,5,2,2,4,5,5,3,2,5,2,4,5,5,3
"253",3,1,5,5,5,5,1,3,1,1,4,5,1,4,5,3,1,5,1,1,5,1,5,1,5,1,5,1,4,2
"254",4,1,5,5,5,5,1,3,1,2,5,5,1,4,5,4,1,5,1,1,5,3,5,3,5,1,5,1,3,3
"255",5,5,4,NA,1,1,4,5,5,5,4,1,3,1,NA,1,5,1,4,5,NA,NA,NA,5,3,5,2,5,NA,5
"256",5,5,4,4,5,4,1,4,1,3,4,2,2,3,4,5,1,4,2,2,5,3,5,2,5,2,4,4,5,2
"257",4,5,2,1,2,4,5,5,5,2,4,4,4,2,5,1,5,1,4,4,4,4,1,5,2,5,2,5,4,5
"258",3,4,3,1,5,4,4,3,5,3,1,3,5,1,1,4,5,1,2,1,4,1,4,4,4,2,4,5,2,4
"259",5,4,4,3,5,4,1,4,3,2,4,4,2,4,4,4,2,4,2,2,4,2,4,4,4,3,4,4,4,3
"260",4,4,4,4,4,4,4,5,5,5,4,4,4,2,5,1,4,4,2,5,5,3,4,4,4,4,4,2,2,4
"261",4,4,4,2,4,3,3,5,3,4,3,3,2,4,2,4,2,4,3,3,5,5,1,4,5,1,3,2,5,3
"262",4,4,4,4,4,4,2,4,4,4,4,2,4,2,5,4,4,3,3,4,3,3,4,4,3,4,2,3,3,4
"263",1,5,1,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,1,1,4,1,5,5,5,5,5,5,1
"264",5,4,4,4,4,2,1,4,1,2,4,4,4,4,2,4,4,4,1,5,4,2,4,2,4,4,3,2,4,4
"265",4,5,5,5,5,4,1,4,2,2,4,5,1,5,5,5,1,5,1,1,5,1,5,4,5,2,4,2,4,3
"266",5,4,2,5,5,5,1,5,1,4,2,5,1,5,5,5,1,5,1,2,5,3,5,1,5,1,5,1,4,3
"267",5,5,4,5,2,4,5,5,5,5,2,4,1,4,5,1,4,1,5,5,5,2,5,2,5,2,5,4,1,5
"268",1,5,5,1,1,2,1,4,5,5,1,4,5,1,3,1,5,1,5,2,1,4,1,4,1,5,2,5,5,4
"269",5,5,5,1,2,1,4,2,5,5,5,1,5,1,2,1,5,1,4,4,1,4,1,5,1,5,1,4,1,2
"270",2,4,5,4,4,5,4,4,5,5,4,1,5,2,1,1,4,1,5,4,1,2,1,5,1,5,1,4,4,3
"271",2,2,4,3,4,4,2,1,4,5,2,2,5,3,2,4,4,2,2,4,2,2,1,4,1,5,4,5,4,1
"272",5,4,2,4,4,4,4,5,5,4,2,3,4,3,2,2,3,2,3,2,5,4,3,4,4,2,1,4,5,3
"273",5,4,5,5,4,5,2,4,2,3,4,5,1,4,5,5,1,4,1,1,5,3,5,2,5,4,5,1,2,4
"274",5,4,5,4,5,5,1,5,1,1,2,5,1,1,5,5,1,4,1,1,5,2,5,1,5,4,3,1,4,4
"275",5,5,4,5,4,5,2,5,4,4,2,5,1,3,5,3,4,1,1,4,5,4,5,1,5,4,5,4,1,5
"276",2,1,5,3,1,4,3,1,4,5,2,2,1,1,2,1,4,1,4,5,2,4,1,5,2,5,3,4,5,3
"277",2,5,5,2,4,4,4,3,5,5,5,3,4,1,4,2,4,3,5,3,2,5,2,5,3,5,2,5,4,3
"278",4,4,4,3,2,4,4,5,5,4,3,4,2,4,5,1,4,2,4,4,4,3,4,4,4,4,4,4,4,4
"279",3,4,3,2,3,4,4,4,4,4,3,3,3,4,2,3,3,4,1,3,4,4,4,4,3,4,3,4,4,2
"280",4,4,5,4,4,5,2,5,2,2,4,5,1,4,5,4,2,4,2,2,5,1,5,4,5,4,5,2,2,4
"281",4,5,5,1,5,3,4,5,5,2,3,1,5,5,1,5,4,3,4,3,2,5,1,5,1,4,2,5,4,3
"282",1,4,5,4,5,2,1,1,1,1,5,5,1,1,1,5,1,5,1,1,1,2,1,4,5,5,5,5,1,1
"283",3,5,2,1,2,2,2,1,5,2,4,1,5,1,1,2,4,1,4,1,1,5,1,5,1,5,1,4,5,2
"284",5,4,5,5,4,5,2,5,2,4,2,5,1,5,5,4,3,5,2,5,5,3,4,4,5,4,5,4,4,4
"285",4,4,4,4,2,4,4,5,5,5,3,2,2,2,2,2,4,1,4,4,5,2,3,3,4,4,3,3,4,2
"286",5,5,5,5,5,5,1,5,2,4,4,4,1,4,5,5,2,4,1,1,5,2,5,4,5,4,5,1,4,5
"287",5,5,2,5,2,5,4,5,5,4,2,4,1,4,5,2,4,1,2,4,5,2,5,2,5,2,4,1,2,5
"288",1,2,1,4,4,4,1,1,2,3,2,2,1,1,4,3,3,4,2,1,2,4,1,1,1,5,4,2,1,2
"289",2,3,4,3,4,4,4,2,5,4,2,2,5,2,5,2,5,2,4,4,2,4,2,4,1,5,4,5,4,2
"290",4,5,2,2,2,4,4,5,4,4,2,4,2,2,4,2,4,1,4,4,4,4,4,3,2,4,4,4,2,4
"291",5,5,4,5,4,5,1,5,5,2,4,5,1,4,5,2,2,4,2,4,5,4,5,2,5,2,4,2,2,3
"292",2,3,5,3,4,4,3,1,5,5,3,5,5,1,5,2,4,4,4,2,1,5,5,5,2,5,4,5,5,1
"293",4,4,5,4,4,5,1,5,4,4,4,2,1,1,3,3,2,2,4,2,5,2,5,4,5,4,4,2,4,4
"294",4,3,5,4,3,4,1,5,3,2,2,5,1,3,5,3,2,3,1,2,5,3,5,3,5,3,5,1,3,4
"295",4,5,4,5,4,4,5,4,5,5,4,2,4,1,5,1,5,1,3,4,1,3,4,5,4,5,2,5,1,3
"296",1,1,5,1,5,5,1,1,3,5,3,3,5,1,5,3,3,5,3,1,1,5,1,5,3,5,5,5,5,3
"297",4,5,5,1,4,4,2,5,4,4,4,4,3,2,3,3,2,2,2,3,4,5,3,2,4,4,2,4,5,2
"298",4,3,4,1,4,4,2,4,4,2,3,2,4,2,5,1,4,3,2,3,4,3,3,4,4,2,2,2,2,3
"299",5,4,4,4,4,5,1,5,3,2,2,2,1,3,4,4,2,3,2,2,5,2,4,4,4,4,3,4,5,5
"300",5,4,5,5,4,5,1,2,3,1,4,5,1,5,5,4,1,5,1,3,5,2,5,1,5,1,5,1,2,4
"301",5,5,4,4,4,4,3,5,4,2,4,2,2,1,3,2,4,2,4,3,4,2,4,4,4,4,3,2,4,2
"302",4,2,4,2,4,4,4,2,4,4,2,2,5,1,3,2,4,2,4,2,2,4,2,4,2,5,3,2,4,2
"303",5,5,4,2,4,4,4,5,4,5,2,2,4,5,1,2,4,2,4,4,5,5,3,2,1,4,2,4,4,2
"304",5,4,2,5,1,4,4,5,5,5,2,4,2,2,2,1,4,1,2,5,5,2,4,4,5,2,5,4,1,4
"305",5,5,4,4,4,5,2,5,3,4,4,4,2,3,5,4,4,2,2,2,4,2,4,2,4,2,4,2,4,4
"306",5,5,2,4,4,2,4,4,5,4,2,4,2,2,2,2,4,2,4,4,2,4,2,4,4,5,2,4,4,4
"307",5,4,5,5,4,5,1,5,4,2,3,5,1,4,5,4,1,3,1,2,5,2,5,2,5,2,5,3,2,4
"308",1,1,5,3,5,4,1,2,4,4,4,3,5,1,4,5,3,4,3,1,2,4,1,4,3,5,4,3,5,1
"309",4,4,2,3,2,2,4,4,5,2,2,2,4,NA,2,2,2,2,5,4,3,5,3,4,2,5,2,4,5,3
"310",5,5,2,4,4,4,4,5,4,3,3,4,1,1,4,2,4,1,4,5,4,4,5,2,5,5,4,3,4,4
"311",4,4,4,1,3,2,4,4,4,4,4,2,4,1,1,2,4,1,4,4,2,5,1,4,2,4,4,5,4,3
"312",5,5,4,5,4,5,1,5,4,5,4,2,1,2,2,2,4,1,4,4,5,2,5,4,5,2,2,4,5,2
"313",5,5,5,5,5,5,2,5,2,4,4,5,1,5,5,4,2,4,1,3,5,1,5,1,5,2,5,1,2,4
"314",4,5,4,2,4,4,4,3,5,2,2,2,5,4,1,2,4,1,5,4,4,5,1,5,2,5,2,2,5,2
"315",5,5,3,5,5,5,5,5,3,3,5,4,1,4,5,5,2,3,3,3,5,3,5,1,5,1,5,3,2,3
"316",5,5,5,5,5,5,1,5,1,2,4,5,1,4,5,5,1,5,1,1,5,1,5,4,5,1,5,1,4,3
"317",5,5,4,2,4,2,4,4,4,3,3,3,3,2,4,2,4,1,4,4,4,3,3,4,4,5,3,4,3,3
"318",4,3,4,2,3,4,2,3,4,3,2,3,4,2,2,2,3,2,3,3,3,4,2,4,2,4,3,4,4,4
"319",1,5,1,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,1,1,4,1,5,5,5,5,5,5,1
"320",4,4,2,4,2,4,5,5,5,4,1,2,1,1,1,1,5,2,5,5,5,3,5,5,5,5,2,5,4,5
"321",4,4,2,1,4,2,4,4,5,5,4,1,5,1,4,1,4,2,4,4,2,5,1,5,3,5,3,5,5,2
"322",4,4,2,4,4,4,4,4,5,4,2,2,4,1,4,1,4,2,4,4,4,2,2,4,4,4,2,4,2,4
"323",4,4,4,4,4,4,2,4,4,1,4,4,1,2,5,3,2,4,3,3,4,2,3,3,4,3,4,4,3,4
"324",4,3,4,1,5,2,1,5,5,4,2,4,2,2,3,2,4,1,2,2,2,5,1,5,5,5,2,4,5,2
"325",1,5,1,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,1,1,4,1,5,5,5,5,5,5,1
"326",2,2,3,2,4,2,1,4,5,3,3,1,5,2,1,4,1,3,4,2,2,5,1,5,4,5,4,4,5,2
"327",4,3,4,1,2,2,3,4,2,2,3,3,5,3,2,4,2,4,3,2,2,5,1,5,2,4,3,2,3,3
"328",4,5,4,3,4,4,4,5,5,2,4,1,5,4,3,4,4,4,4,2,3,4,2,5,2,5,3,4,5,2
"329",4,4,4,2,2,4,2,4,4,2,2,2,2,4,2,4,3,2,2,2,4,2,4,2,2,2,2,4,4,2
"330",3,3,4,5,3,4,2,5,3,2,4,4,1,3,5,4,3,3,2,3,4,3,4,2,4,3,4,1,4,4
"331",5,4,5,5,5,5,1,4,1,2,4,5,1,5,5,5,2,4,1,4,5,1,5,1,5,2,5,1,4,4
"332",5,4,5,4,5,5,1,5,1,1,4,4,1,5,5,4,1,5,1,1,5,1,4,4,5,2,4,1,4,4
"333",5,5,4,4,4,2,5,5,5,4,2,2,5,2,4,1,5,1,4,4,4,4,2,5,4,5,2,4,4,2
"334",5,5,5,5,4,4,2,4,4,3,3,5,2,3,5,4,1,5,1,1,1,2,3,2,5,3,5,2,3,4
"335",2,4,4,1,4,4,4,4,5,2,2,2,5,1,4,2,4,1,5,3,2,4,1,5,1,5,2,2,2,3
"336",4,5,4,1,2,4,4,5,5,5,2,4,2,4,5,2,4,2,4,4,5,4,4,4,4,4,4,2,2,4
"337",5,5,2,5,2,2,4,2,5,1,3,2,5,1,1,1,5,1,5,5,2,4,1,5,5,5,2,5,2,5
"338",4,5,2,4,2,4,4,5,5,4,2,2,2,1,5,1,5,1,4,4,4,3,4,4,4,5,2,3,1,5
"339",5,4,5,5,5,5,1,5,2,2,4,5,1,4,5,5,1,4,1,2,5,1,5,2,5,2,5,1,2,4
"340",5,5,4,5,2,5,5,5,5,5,2,1,1,5,3,1,5,2,5,5,5,5,4,5,5,4,2,1,5,3
"341",2,3,4,1,4,1,2,2,5,5,4,1,5,1,3,1,4,2,2,4,1,4,1,4,1,5,2,4,4,2
"342",4,4,4,4,4,5,2,4,4,2,4,5,4,4,4,4,1,4,2,2,5,2,5,4,4,2,4,2,4,2
"343",5,5,1,1,2,5,5,5,5,4,2,1,2,1,1,1,4,1,4,5,4,5,2,5,2,5,2,4,4,4
